,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlet,DVR,Serial Number,Local IP,Port,MAC Address,Version,Device Type,Device Model,Build,Power Adapter/Cord,Video Input,Total Channel,NIC Speed,HDD Total Space,Hardware Version,Software Version,System version,Web version,ONVIFServer version,ONVIFClient version,SecurityBaseline Version,Firmware Version,Location,Warranty,Hybrid,WIP,P2P QR,,,
TAG,3,5E08834PAZ9CE0C,192.168.1.6,37777(Router2),9C:14:63:ED:E4:68,English,HCVR,DH-XVR5116HS-X,02-04-19,12.0V 4.0A,16,16/24,1.0Gbps,4TB,V1.0,V4.000.0000002.4.R,V4.000.0000002.4.R,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,Left Corner of CEO office,,,,,,,
TAG,4,5E09246PAZ47542,192.168.1.7,37780(Router2),9C:14:63:F9:29:99,English,HCVR,DH-XVR5116HS-X,02-04-19,12.0V 5.0A,16,16/24,1.0Gbps,4TB,V1.0,V4.000.0000002.4.R,V4.000.0000002.4.R,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,Left Corner of CEO office,,,,,,,
TAG,5,AH06F45PAZD072C,192.168.1.8,37783(Router1),f8:ce:07:67:76:c6,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,05-08-24,250.0V 13.0A,20,32/48,1.0Gbps,16TB,V2.0,V4.000.0000003.1.R,V4.000.0000003.1.R,V5.21.0.240719.1079824,23.12(V3.1.0.1787642),V2.4.1,V2.4,,Corner of Administration office,,,,,,,
TGK1,1,4L0329EPAZDEFDD,192.168.1.5,37777,9C:14:63:27:FB:E3,English,HCVR,DH-XVR5216AN-X,23-08-18,12.0V 4.0A,16,16/24,300Mbps,2TB & 2TB,V1.0,4.000.0000001.9,4.000.0000001.9,3.2.7.101581,16.12(V1.2.2.596777),NULL,V1.2,,,,,,,,,
TGK1,2,5F0306APAZCA2F8,192.168.1.6,37780,A0:BD:1D:10:92:AD,English,HCVR,DH-XVR1B16H,02-04-19,12.0V 5.0A,16,16/24,300Mbps,4TB,V1.0,V4.000.0000002.4,V4.000.0000002.4,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,,,,,,,,
TGK1,3,8D04456PAZ5F304,192.168.1.7,37781,E4:24:6C:99:6B:BD,English,HCVR,DH-XVR5216AN-13,30-06-22,12.0V 4.0A,16,16/24,300Mbps,4TB,V1.0,V4.001.0000001.5.R,V4.001.0000001.5.R,V3.2.7.13717946,21.06(V3.1.0.1181751),NULL,V2.2,,,,,,,,,
TGK1,4,AG0E289PAZ0CA60,192.168.1.8,37782,f8:ce:07:3f:26:05,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,08-04-24,250.0V 13.0A,32,32/48,300Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240319.12466932,23.12(V3.1.0.1787642),V2.4.1,V2.4,,,,,,,,,
TGK2,1,5J0289DPAZCE94A,192.168.1.3,37777,A0:BD:1D:87:90:75,English,HCVR,DH-XVR1B16H,02-04-19,12.0V 5.0A,16,16/24,300Mbps,4TB,V1.0,V4.000.0000002.4,V4.000.0000002.4,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,in the hostel,,,,,,,
TGK2,2,5J0289DPAZ23443,192.168.1.4,37780,A0:BD:1D:87:90:70,English,HCVR,DH-XVR1B16H,02-04-19,12.0V 2.0A,16,16/24,300Mbps,4TB,V1.0,V4.000.0000002.4,V4.000.0000002.4,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,in the hostel,,,,,,,
TGK2,3,5J00525PAZ13028,192.168.1.5,37781,A0:BD:1D:86:C3:FB,English,HCVR,DH-XVR1B16H,02-04-19,12.0V 2.0A,16,16/24,300Mbps,4TB,V1.0,V4.000.0000002.4,V4.000.0000002.4,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,in the hostel,,,,,,,
TGK2,4,AG0E289PAZ4B2AB,192.168.1.6,37782,f8:ce:07:3f:26:00,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,08-04-24,250.0V 13.0A,,32/48,300Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240319.12466932,23.12(V3.1.0.1787642),V2.4.1,V2.4,,in the hostel,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
